Year,A,B,O,AB
99,0.266479789,0.237154208,0.43567195,0.06064052
100,0.265854702,0.23655304,0.438165058,0.059374183
101,0.266635852,0.235753196,0.438042278,0.059513622
102,0.267078999,0.238064845,0.435493405,0.05930483
103,0.26674389,0.236601183,0.438088794,0.058507418
104,0.26703903,0.235666592,0.436938096,0.060297457
105,0.267608486,0.236593457,0.436794465,0.058944038

